phase15a_rank,candidate_id,instrument,module_family,side,trigger_model,confirmation_model,exit_variant,timeframe,atr_cap_multiple,buffer_ticks,time_stop_minutes,max_trades_per_day,build_start,build_end,trade_start,trade_end,entry_rule,paper_trading_approved,trades,active_days,trades_per_active_day,gross_pnl,net_pnl,stress_pnl,validation_pnl,holdout_pnl,max_drawdown,best_day_concentration,best_trade_concentration,avg_mfe,avg_mae,walk_forward_test_pnl,walk_forward_stress_pnl,positive_wf_test_folds_pct,worst_wf_test_fold,average_correlation_to_registry,max_correlation_to_registry,average_correlation_to_playbook,max_correlation_to_playbook,gap_days_covered,incremental_gap_days_covered,any_target_gap_days_covered,invalid_risk_skipped_count,signals_found,official_gates_passed,trend_days_with_no_module_covered,power_hour_expansion_days_with_no_module_covered,low_volatility_expansion_days_with_no_module_covered,no_trade_large_intraday_movement_days_covered,phase15a_label,signal_evidence_status,tradability_status,research_track,portfolio_role,reject_reasons,phase15a_score
15,MNQ_15a_trend_day_late_pullback_continuation_long_ema20_pullback_resume_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,trend_day_late_pullback_continuation,long,ema20_pullback_resume,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False,84,84,1.0,386.92,156.76,72.76,62.97,-125.43,-428.01,1.609212,1.609212,50.03,33.46,150.46,93.46,0.666667,-308.4,0.052242,0.177712,0.046159,0.100309,0,0,1,0,84,False,0,0,0,1,phase15a_rejected_negative_holdout,weak_research_signal,not_tradable_concentrated,parked_research_signal,parked_module,negative holdout; fold instability; concentration,-261.79
16,MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_close_confirm_fill_next_open_structure_target_time_exit,MNQ,power_hour_continuation,long,power_range_breakout_continuation,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False,50,50,1.0,78.93,-58.07,-108.07,104.8,174.02,-446.9,1.0,1.0,37.38,36.4,249.18,220.18,0.5,-159.25,0.039691,0.192819,0.077692,0.152533,0,0,0,0,50,False,0,0,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; low activity; fold instability; concentration,-334.79
17,MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,MNQ,power_hour_continuation,long,power_range_edge_retest_resume,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False,50,50,1.0,78.93,-58.07,-108.07,104.8,174.02,-446.9,1.0,1.0,37.38,36.4,249.18,220.18,0.5,-159.25,0.039691,0.192819,0.077692,0.152533,0,0,0,0,50,False,0,0,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; low activity; fold instability; concentration,-334.79
18,MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,power_hour_continuation,long,power_range_breakout_continuation,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False,42,42,1.0,24.0,-91.08,-133.08,-60.69,40.09,-234.65,1.0,1.0,32.36,23.93,57.01,31.01,0.333333,-83.2,0.054034,0.232486,0.104001,0.180514,0,0,0,0,42,False,0,0,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative validation; low activity; fold instability; concentration,-336.72
19,MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,power_hour_continuation,long,power_range_edge_retest_resume,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False,42,42,1.0,24.0,-91.08,-133.08,-60.69,40.09,-234.65,1.0,1.0,32.36,23.93,57.01,31.01,0.333333,-83.2,0.054034,0.232486,0.104001,0.180514,0,0,0,0,42,False,0,0,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative validation; low activity; fold instability; concentration,-336.72
20,MNQ_15a_low_volatility_late_expansion_long_lunch_expansion_breakout_close_confirm_fill_next_open_structure_target_time_exit,MNQ,low_volatility_late_expansion,long,lunch_expansion_breakout,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,11:30,13:30,13:30,15:30,later_bar_open,False,31,31,1.0,69.04,-15.9,-46.9,-11.38,143.79,-267.52,1.0,1.0,32.63,40.05,-25.63,-43.63,0.166667,-154.84,0.02551,0.114452,0.046035,0.074883,0,0,1,0,31,False,1,1,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative validation; low activity; fold instability; concentration,-358.05
21,MNQ_15a_low_volatility_late_expansion_long_lunch_expansion_retest_resume_close_confirm_fill_next_open_structure_target_time_exit,MNQ,low_volatility_late_expansion,long,lunch_expansion_retest_resume,close_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,11:30,13:30,13:30,15:30,later_bar_open,False,31,31,1.0,69.04,-15.9,-46.9,-11.38,143.79,-267.52,1.0,1.0,32.63,40.05,-25.63,-43.63,0.166667,-154.84,0.02551,0.114452,0.046035,0.074883,0,0,1,0,31,False,1,1,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative validation; low activity; fold instability; concentration,-358.05
22,MNQ_15a_power_hour_continuation_long_power_range_breakout_continuation_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,power_hour_continuation,long,power_range_breakout_continuation,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False,42,42,1.0,-42.5,-157.58,-199.58,5.56,-40.16,-238.02,1.0,1.0,37.56,25.64,36.26,10.26,0.5,-83.2,0.053448,0.188899,0.106205,0.178807,0,0,0,0,42,False,0,0,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative holdout; low activity; fold instability; concentration,-427.34
23,MNQ_15a_power_hour_continuation_long_power_range_edge_retest_resume_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,power_hour_continuation,long,power_range_edge_retest_resume,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False,42,42,1.0,-42.5,-157.58,-199.58,5.56,-40.16,-238.02,1.0,1.0,37.56,25.64,36.26,10.26,0.5,-83.2,0.053448,0.188899,0.106205,0.178807,0,0,0,0,42,False,0,0,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative holdout; low activity; fold instability; concentration,-427.34
24,MNQ_15a_low_volatility_late_expansion_short_lunch_expansion_breakout_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,low_volatility_late_expansion,short,lunch_expansion_breakout,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,11:30,13:30,13:30,15:30,later_bar_open,False,12,12,1.0,-203.81,-236.69,-248.69,33.26,-60.98,-346.27,1.0,1.0,62.92,71.54,105.32,98.32,0.5,-62.98,0.015713,0.049342,0.033418,0.068839,0,0,1,0,12,False,1,1,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative holdout; low activity; fold instability; concentration,-496.64
25,MNQ_15a_low_volatility_late_expansion_short_lunch_expansion_retest_resume_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,low_volatility_late_expansion,short,lunch_expansion_retest_resume,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,11:30,13:30,13:30,15:30,later_bar_open,False,12,12,1.0,-203.81,-236.69,-248.69,33.26,-60.98,-346.27,1.0,1.0,62.92,71.54,105.32,98.32,0.5,-62.98,0.015713,0.049342,0.033418,0.068839,0,0,1,0,12,False,1,1,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative holdout; low activity; fold instability; concentration,-496.64
26,MNQ_15a_trend_day_late_pullback_continuation_short_morning_midpoint_retest_resume_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,trend_day_late_pullback_continuation,short,morning_midpoint_retest_resume,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False,13,13,1.0,-163.75,-199.37,-212.37,26.52,-24.74,-213.93,1.0,1.0,38.85,43.77,-97.2,-102.2,0.166667,-58.24,0.027419,0.059985,0.025155,0.129657,0,0,0,0,13,False,0,0,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative holdout; low activity; fold instability; concentration,-528.5
27,MNQ_15a_low_volatility_late_expansion_long_lunch_expansion_breakout_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,low_volatility_late_expansion,long,lunch_expansion_breakout,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,11:30,13:30,13:30,15:30,later_bar_open,False,27,27,1.0,-118.09,-192.07,-219.07,-53.71,41.04,-221.89,1.0,1.0,22.46,22.15,-126.67,-143.67,0.166667,-81.46,0.030941,0.192088,0.078543,0.156366,0,0,1,0,27,False,1,1,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative validation; low activity; fold instability; concentration,-584.63
28,MNQ_15a_low_volatility_late_expansion_long_lunch_expansion_retest_resume_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,low_volatility_late_expansion,long,lunch_expansion_retest_resume,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,11:30,13:30,13:30,15:30,later_bar_open,False,27,27,1.0,-118.09,-192.07,-219.07,-53.71,41.04,-221.89,1.0,1.0,22.46,22.15,-126.67,-143.67,0.166667,-81.46,0.030941,0.192088,0.078543,0.156366,0,0,1,0,27,False,1,1,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative validation; low activity; fold instability; concentration,-584.63
29,MNQ_15a_low_volatility_late_expansion_short_lunch_expansion_breakout_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,low_volatility_late_expansion,short,lunch_expansion_breakout,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,11:30,13:30,13:30,15:30,later_bar_open,False,16,16,1.0,-189.22,-233.06,-249.06,54.76,-60.48,-364.38,1.0,1.0,65.03,53.81,26.04,17.04,0.333333,-126.52,0.019061,0.086166,0.044943,0.0979,0,0,1,0,16,False,1,1,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative holdout; low activity; fold instability; concentration,-596.4
30,MNQ_15a_low_volatility_late_expansion_short_lunch_expansion_retest_resume_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,low_volatility_late_expansion,short,lunch_expansion_retest_resume,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,11:30,13:30,13:30,15:30,later_bar_open,False,16,16,1.0,-189.22,-233.06,-249.06,54.76,-60.48,-364.38,1.0,1.0,65.03,53.81,26.04,17.04,0.333333,-126.52,0.019061,0.086166,0.044943,0.0979,0,0,1,0,16,False,1,1,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative holdout; low activity; fold instability; concentration,-596.4
31,MNQ_15a_trend_day_late_pullback_continuation_short_morning_midpoint_retest_resume_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,trend_day_late_pullback_continuation,short,morning_midpoint_retest_resume,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False,13,13,1.0,-224.0,-259.62,-272.62,26.52,-24.74,-304.16,1.0,1.0,44.27,47.88,-97.2,-102.2,0.166667,-58.24,0.022253,0.059129,0.026453,0.096422,0,0,0,0,13,False,0,0,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative holdout; low activity; fold instability; concentration,-678.98
32,MNQ_15a_power_hour_continuation_short_power_range_breakout_continuation_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,power_hour_continuation,short,power_range_breakout_continuation,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False,41,41,1.0,11.18,-101.16,-142.16,169.29,104.04,-572.5,1.0,1.0,72.44,61.57,31.61,6.61,0.333333,-158.2,0.105088,0.398255,0.159014,0.335738,1,1,1,0,41,False,1,1,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; low activity; fold instability; concentration,-683.05
33,MNQ_15a_power_hour_continuation_short_power_range_edge_retest_resume_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,power_hour_continuation,short,power_range_edge_retest_resume,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,13:30,14:30,14:30,15:45,later_bar_open,False,41,41,1.0,11.18,-101.16,-142.16,169.29,104.04,-572.5,1.0,1.0,72.44,61.57,31.61,6.61,0.333333,-158.2,0.105088,0.398255,0.159014,0.335738,1,1,1,0,41,False,1,1,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; low activity; fold instability; concentration,-683.05
34,MNQ_15a_low_volatility_late_expansion_short_lunch_expansion_breakout_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,low_volatility_late_expansion,short,lunch_expansion_breakout,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,11:30,13:30,13:30,15:30,later_bar_open,False,12,12,1.0,-314.06,-346.94,-358.94,58.76,-60.98,-346.27,1.0,1.0,47.96,71.21,2.32,-4.68,0.333333,-62.98,0.018293,0.055564,0.044425,0.084912,0,0,1,0,12,False,1,1,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative holdout; low activity; fold instability; concentration,-709.89
35,MNQ_15a_low_volatility_late_expansion_short_lunch_expansion_retest_resume_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,low_volatility_late_expansion,short,lunch_expansion_retest_resume,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,11:30,13:30,13:30,15:30,later_bar_open,False,12,12,1.0,-314.06,-346.94,-358.94,58.76,-60.98,-346.27,1.0,1.0,47.96,71.21,2.32,-4.68,0.333333,-62.98,0.018293,0.055564,0.044425,0.084912,0,0,1,0,12,False,1,1,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative holdout; low activity; fold instability; concentration,-709.89
36,MNQ_15a_trend_day_late_pullback_continuation_long_morning_midpoint_retest_resume_two_bar_confirm_fill_next_open_hard_stop_time_exit,MNQ,trend_day_late_pullback_continuation,long,morning_midpoint_retest_resume,two_bar_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False,18,18,1.0,4.11,-45.21,-63.21,-158.33,-239.2,-433.27,1.0,1.0,56.67,55.83,-218.23,-234.23,0.166667,-161.98,0.028892,0.229831,0.011601,0.026786,0,0,1,0,18,False,0,0,0,1,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative validation; negative holdout; low activity; fold instability; concentration,-730.71
37,MNQ_15a_trend_day_late_pullback_continuation_long_morning_midpoint_retest_resume_two_bar_confirm_fill_next_open_structure_target_time_exit,MNQ,trend_day_late_pullback_continuation,long,morning_midpoint_retest_resume,two_bar_confirm_fill_next_open,structure_target_time_exit,5,1.25,1,30,1,09:30,11:30,13:00,15:30,later_bar_open,False,18,18,1.0,-73.64,-122.96,-140.96,-90.58,-215.45,-341.77,1.0,1.0,41.97,52.11,-233.98,-249.98,0.166667,-161.98,0.029279,0.190999,0.019989,0.041754,0,0,1,0,18,False,0,0,0,1,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative validation; negative holdout; low activity; fold instability; concentration,-732.71
38,MNQ_15a_low_volatility_late_expansion_long_lunch_expansion_breakout_close_confirm_fill_next_open_hard_stop_time_exit,MNQ,low_volatility_late_expansion,long,lunch_expansion_breakout,close_confirm_fill_next_open,hard_stop_time_exit,5,1.25,1,30,1,11:30,13:30,13:30,15:30,later_bar_open,False,31,31,1.0,-172.34,-257.28,-288.28,-19.38,118.54,-383.84,1.0,1.0,34.24,48.44,-58.88,-76.88,0.166667,-154.84,0.035254,0.114741,0.075257,0.124793,0,0,1,0,31,False,1,1,0,0,phase15a_rejected_negative_stress,no_signal,not_tradable_negative,rare_setup_research_signal,rare_setup_module,negative stress; negative validation; low activity; fold instability; concentration,-749.0
