phase6d_rank,candidate_id,spec_json,instrument,family,timeframe,label,ranking_score,risk_notes,net_pnl,validation_pnl,holdout_pnl,slippage_4_ticks_net_pnl,trades,active_sessions,active_session_pct,win_rate,avg_trade,profit_factor,max_drawdown,worst_day,longest_losing_streak,best_day_concentration,best_trade_concentration,same_bar_stop_target_ambiguity_count,base_cost,stress_cost,side_filter,phase6d_score,phase6d_label,phase6d_notes
11,MNQ_opening_range_breakout_tf5_17d42c0be0,"{""entry"":{""name"":""close_outside_range"",""params"":{""min_range"":20.0,""or_minutes"":15}},""exit"":{""name"":""r_multiple"",""params"":{""stop_mode"":""half_range"",""target"":""2R""}},""family"":""opening_range_breakout"",""instrument"":""MNQ"",""notes"":""Phase 6D side-only search: short-only version of MNQ_opening_range_breakout_tf5_f83a4876d1."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""side_filter"":""short"",""stop_after_first_loser"":true}},""timeframe"":5,""version"":1}",MNQ,opening_range_breakout,5,rejected,-14.9373,negative net PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-11.540000000003602,878.0299999999991,1369.979999999999,-1574.540000000003,521,521,0.5782463928967814,0.345489443378119,-0.0221497120921374,0.9997024917476264,-3706.77,-472.24,13,1.0,1.0,0,2.74,3.74,short,-462.2888,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6D cap
12,MNQ_opening_range_breakout_tf5_41378f246c,"{""entry"":{""name"":""close_outside_range"",""params"":{""min_range"":20.0,""or_minutes"":15}},""exit"":{""name"":""r_multiple"",""params"":{""stop_mode"":""full_range"",""target"":""1R""}},""family"":""opening_range_breakout"",""instrument"":""MNQ"",""notes"":""Phase 6D side-only search: short-only version of MNQ_opening_range_breakout_tf5_00178d2888."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""side_filter"":""short"",""stop_after_first_loser"":true}},""timeframe"":5,""version"":1}",MNQ,opening_range_breakout,5,rejected,-31.7636,negative net PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-248.7900000000024,907.0299999999996,154.4799999999991,-1811.7900000000025,521,521,0.5782463928967814,0.4932821497120921,-0.4775239923224614,0.9920611672084946,-3308.5300000000007,-472.24,10,1.0,1.0,0,2.74,3.74,short,-474.213,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6D cap
13,MNQ_prior_session_levels_tf2_2e07379a37,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""break_hold""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":60,""target_ticks"":120}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Phase 6D side-only search: long-only version of MNQ_prior_session_levels_tf2_f3e936320b."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""side_filter"":""long"",""stop_after_first_loser"":true}},""timeframe"":2,""version"":1}",MNQ,prior_session_levels,2,rejected,-55.9262,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-562.3200000000022,-477.0200000000003,-289.0600000000003,-1966.3200000000024,468,468,0.5194228634850167,0.3525641025641026,-1.2015384615384663,0.9434127452144566,-1522.1400000000017,-34.74,13,1.0,1.0,3,2.74,3.74,long,-494.4038,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6D cap; same-bar stop/target ambiguity remains; negative validation split; negative holdout split
14,MNQ_prior_session_levels_tf3_7b8a40f420,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""break_hold""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":80}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Phase 6D side-only search: long-only version of MNQ_prior_session_levels_tf3_b1757a72f1."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""side_filter"":""long"",""stop_after_first_loser"":true}},""timeframe"":3,""version"":1}",MNQ,prior_session_levels,3,rejected,-53.1873,negative net PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-896.8800000000014,18.219999999999693,-305.8200000000003,-2282.880000000002,462,462,0.5127635960044395,0.3463203463203463,-1.941298701298704,0.869001297016861,-1077.4200000000028,-25.24,13,1.0,1.0,5,2.74,3.74,long,-495.7728,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity remains; negative holdout split
15,MNQ_prior_session_levels_tf5_98a5bed1fb,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""break_hold""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":80}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Phase 6D side-only search: short-only version of MNQ_prior_session_levels_tf5_ea4e2959d4."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""side_filter"":""short"",""stop_after_first_loser"":true}},""timeframe"":5,""version"":1}",MNQ,prior_session_levels,5,rejected,-48.7321,negative net PnL; negative holdout PnL; fails 4-tick slippage; low active-session coverage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-369.1400000000009,205.11999999999983,-571.0800000000002,-1302.140000000001,311,311,0.3451720310765815,0.360128617363344,-1.1869453376205816,0.9181282658646724,-749.9200000000005,-24.74,15,1.0,1.0,20,2.74,3.74,short,-497.2637,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity remains; negative holdout split
16,MNQ_prior_session_levels_tf2_03f3a9185f,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""break_hold""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":80}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Phase 6D side-only search: short-only version of MNQ_prior_session_levels_tf2_4a41b72440."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""side_filter"":""short"",""stop_after_first_loser"":true}},""timeframe"":2,""version"":1}",MNQ,prior_session_levels,2,rejected,-47.3845,negative net PnL; negative holdout PnL; fails 4-tick slippage; low active-session coverage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-724.6200000000008,178.37999999999988,-230.84000000000017,-1663.620000000001,313,313,0.3473917869034406,0.3418530351437699,-2.315079872204475,0.8451315896335496,-838.1000000000018,-25.74,11,1.0,1.0,13,2.74,3.74,short,-499.7388,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity remains; negative holdout split
17,MNQ_prior_session_levels_tf3_51074a81df,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""break_hold""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":80}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Phase 6D side-only search: short-only version of MNQ_prior_session_levels_tf3_b1757a72f1."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""side_filter"":""short"",""stop_after_first_loser"":true}},""timeframe"":3,""version"":1}",MNQ,prior_session_levels,3,rejected,-49.9678,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; low active-session coverage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-777.6200000000008,-173.62000000000018,-131.58000000000018,-1716.620000000001,313,313,0.3473917869034406,0.3386581469648562,-2.484408945686904,0.8341494834367029,-768.4000000000027,-25.74,10,1.0,1.0,15,2.74,3.74,short,-501.3487,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity remains; negative validation split; negative holdout split
18,MNQ_prior_session_levels_tf5_9e50627669,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""break_hold""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":60,""target_ticks"":120}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Phase 6D side-only search: long-only version of MNQ_prior_session_levels_tf5_321e82e1fa."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""side_filter"":""long"",""stop_after_first_loser"":true}},""timeframe"":5,""version"":1}",MNQ,prior_session_levels,5,rejected,-65.7581,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-920.960000000002,-439.5600000000004,-603.1000000000004,-2282.960000000002,454,454,0.5038845726970034,0.3436123348017621,-2.0285462555066123,0.9059190807660013,-1426.420000000002,-35.24,9,1.0,1.0,4,2.74,3.74,long,-504.0177,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity remains; negative validation split; negative holdout split
19,MNQ_opening_range_breakout_tf3_3ae9f3172f,"{""entry"":{""name"":""close_outside_range"",""params"":{""min_range"":20.0,""or_minutes"":15}},""exit"":{""name"":""r_multiple"",""params"":{""stop_mode"":""full_range"",""target"":""1R""}},""family"":""opening_range_breakout"",""instrument"":""MNQ"",""notes"":""Phase 6D side-only search: short-only version of MNQ_opening_range_breakout_tf3_d604679de8."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""side_filter"":""short"",""stop_after_first_loser"":true}},""timeframe"":3,""version"":1}",MNQ,opening_range_breakout,3,rejected,-57.8155,negative net PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk,-2163.600000000002,74.53999999999917,164.00999999999908,-3783.600000000002,540,540,0.5993340732519423,0.4814814814814814,-4.00666666666667,0.9320182742520312,-3284.959999999985,-353.74,8,1.0,1.0,0,2.74,3.74,short,-507.9367,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6D cap
20,MNQ_vwap_reclaim_rejection_tf3_8f9db42441,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""reclaim""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":60,""target_ticks"":120}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Phase 6D side-only search: long-only version of MNQ_vwap_reclaim_rejection_tf3_8cdcce12b9."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""side_filter"":""long"",""stop_after_first_loser"":true}},""timeframe"":3,""version"":1}",MNQ,vwap_reclaim_rejection,3,rejected,-31.2653,negative net PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-1166.5200000000034,585.1599999999994,459.8999999999994,-3635.520000000003,823,823,0.9134295227524972,0.3487241798298906,-1.4173997569866383,0.9332526160635,-2371.3600000000006,-37.74,15,1.0,1.0,8,2.74,3.74,long,-509.2374,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6D cap; same-bar stop/target ambiguity remains
21,MNQ_prior_session_levels_tf2_0c04b0a24e,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""break_hold""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":80}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Phase 6D side-only search: long-only version of MNQ_prior_session_levels_tf2_4a41b72440."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""side_filter"":""long"",""stop_after_first_loser"":true}},""timeframe"":2,""version"":1}",MNQ,prior_session_levels,2,rejected,-63.6681,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-838.8200000000018,-447.0200000000004,-519.0600000000004,-2242.820000000002,468,468,0.5194228634850167,0.3504273504273504,-1.7923504273504312,0.8788962904571742,-1506.400000000002,-25.24,18,1.0,1.0,9,2.74,3.74,long,-518.4219,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6D cap; same-bar stop/target ambiguity remains; negative validation split; negative holdout split
22,MNQ_prior_session_levels_tf5_55b3a7b7c8,"{""entry"":{""name"":""prior_level_reaction"",""params"":{""mode"":""break_hold""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":80}},""family"":""prior_session_levels"",""instrument"":""MNQ"",""notes"":""Phase 6D side-only search: long-only version of MNQ_prior_session_levels_tf5_ea4e2959d4."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""side_filter"":""long"",""stop_after_first_loser"":true}},""timeframe"":5,""version"":1}",MNQ,prior_session_levels,5,rejected,-67.0589,negative net PnL; negative validation PnL; negative holdout PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-1014.460000000002,-353.06000000000034,-663.1000000000003,-2376.460000000002,454,454,0.5038845726970034,0.3436123348017621,-2.2344933920704886,0.8510013923730853,-1511.4200000000023,-27.74,10,1.0,1.0,11,2.74,3.74,long,-524.3267,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6D cap; same-bar stop/target ambiguity remains; negative validation split; negative holdout split
23,MNQ_vwap_reclaim_rejection_tf3_bacaf81f58,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""reclaim""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":40,""target_ticks"":80}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Phase 6D side-only search: long-only version of MNQ_vwap_reclaim_rejection_tf3_ec05326356."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""side_filter"":""long"",""stop_after_first_loser"":true}},""timeframe"":3,""version"":1}",MNQ,vwap_reclaim_rejection,3,rejected,-46.0063,negative net PnL; negative validation PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-1346.0200000000025,-524.8400000000005,339.8999999999995,-3815.020000000003,823,823,0.9134295227524972,0.3511543134872418,-1.6355042527339034,0.8884466972093853,-1786.020000000006,-27.74,16,1.0,1.0,19,2.74,3.74,long,-534.9504,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6D cap; same-bar stop/target ambiguity remains; negative validation split
24,MNQ_vwap_reclaim_rejection_tf5_cdfb5acc9e,"{""entry"":{""name"":""vwap_cross"",""params"":{""mode"":""reclaim""}},""exit"":{""name"":""fixed_ticks"",""params"":{""stop_ticks"":60,""target_ticks"":120}},""family"":""vwap_reclaim_rejection"",""instrument"":""MNQ"",""notes"":""Phase 6D side-only search: long-only version of MNQ_vwap_reclaim_rejection_tf5_fce6effc45."",""risk"":{""name"":""one_open_position"",""params"":{""max_trades_per_day"":1,""side_filter"":""long"",""stop_after_first_loser"":true}},""timeframe"":5,""version"":1}",MNQ,vwap_reclaim_rejection,5,rejected,-47.3371,negative net PnL; fails 4-tick slippage; one-day concentration risk; one-trade concentration risk; same-bar stop/target ambiguity present,-2989.060000000003,347.8999999999994,614.3799999999994,-5446.060000000003,819,819,0.9089900110987792,0.3247863247863248,-3.649645909645913,0.833975422857054,-4021.399999999953,-38.24,12,1.0,1.0,7,2.74,3.74,long,-548.3286,rejected,fails aggregate 4-tick slippage stress; one-day concentration risk; one-trade concentration risk; drawdown exceeds Phase 6D cap; same-bar stop/target ambiguity remains
